citekey,Year,Publisher,area,Publication Title
ahmad2017sitting,2017,IEEE,Sensors,2017 IEEE Sensors
ahmad2021proposal,2021,MDPI,Sensors,Sensors
ahn2015development,2015,IEEE,CS,2015 Second International Conference on Computing Technology and Information Management (ICCTIM)
alattas2014detecting,2014,IEEE,CS,"2014 2nd International Conference on Artificial Intelligence, Modelling and Simulation"
anwary2019real,2019,Elsevier,CS,Procedia Computer Science
anwary2020monitoring,2020,IEEE,CS,2020 International Conference on Data Analytics for Business and Industry: Way Towards a Sustainable Economy (ICDABI)
ardito2021lowcost,2021,MDPI,Engineering,Electronics
arrogi2019validation,2019,Oxford University Press,Health,Journal of Occupational Health
arshad2022intelligent,2022,Hindawi Limited,CS,Computational Intelligence and Neuroscience
azrin1968behavioral,1968,Wiley,Behavior,Journal of Applied Behavior Analysis
bagalkot2019reride,2019,ACM,HCI,"Proceedings of the Thirteenth International Conference on Tangible, Embedded, and Embodied Interaction"
bailly2016livingdesktop,2016,ACM,HCI,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
bao2013sitting,2013,IAES,Eng,TELKOMNIKA Indonesian Journal of Electrical Engineering
baptista2017flexible,2017,IEEE,CS,2017 Fourth International Conference on Image Information Processing (ICIIP)
barba2015development,2015,SAGE,Sensors,International Journal of Distributed Sensor Networks
barone2019sensory,2019,IEEE,Engineering,2019 2nd IEEE International Conference on Soft Robotics (RoboSoft)
bei2017sitting,2017,IEEE,Engineering,"2017 IEEE 2nd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)"
benocci2011contextaware,2011,IEEE,Sensors,2011 4th IEEE International Workshop on Advances in Sensors and Interfaces (IWASI)
bibbo2018nonintrusive,2018,IEEE,Health,"2018 IEEE 20th International Conference on e-Health Networking, Applications and Services (Healthcom)"
bibbo2019sitting,2019,MDPI,Sensors,Sensors
bibbo2020influence,2020,MDPI,Engineering,Electronics
bootsman2019wearable,2019,Elsevier,HCI,International Journal of Human-Computer Studies
bourahmoune2019aipowered,2019,IJCAI,CS,Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence
bourahmoune2022intelligent,2022,MDPI,Sensors,Sensors
braun2015capacitive,2015,Springer Nature,UbiComp,"Distributed, Ambient, and Pervasive Interactions"
breen2009evaluation,2009,IEEE,Health,2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
cai2021improved,2021,MDPI,Sensors,Sensors
chen2019sitting,2019,IOP Publishing,Engineering,IOP Conference Series: Materials Science and Engineering
cheng2013smart,2013,IARIA,UbiComp,"UBICOMM13: The seventh international conference on mobile ubiquitous computing, systems, services and technologies"
chin2019posture,2019,IEEE,Engineering,"2019 IEEE International Symposium on Haptic, Audio and Visual Environments and Games (HAVE)"
