citekey,ref,cit,,sums,
ahmad2017sitting,15,26,,papers:,223
ahmad2021proposal,40,12,,ref:,5711
ahn2015development,6,8,,cit:,5573
alattas2014detecting,8,6,,ref + cit:,11507
anwary2019real,36,7,,,
anwary2020monitoring,18,6,,,
ardito2021lowcost,26,5,,,
arrogi2019validation,15,5,,,
arshad2022intelligent,35,3,,,
azrin1968behavioral,29,105,,,
bagalkot2019reride,15,1,,,
bailly2016livingdesktop,52,23,,,
bao2013sitting,15,18,,,
baptista2017flexible,21,18,,,
barba2015development,39,35,,,
barone2019sensory,44,7,,,
bei2017sitting,18,18,,,
benocci2011contextaware,18,21,,,
bibbo2018nonintrusive,19,4,,,
bibbo2019sitting,42,36,,,
bibbo2020influence,38,1,,,
bootsman2019wearable,40,43,,,
bourahmoune2019aipowered,22,18,,,
bourahmoune2022intelligent,54,7,,,
braun2015capacitive,13,23,,,
breen2009evaluation,24,66,,,
cai2021improved,30,4,,,
chen2019sitting,15,25,,,
cheng2013smart,9,43,,,
chin2019posture,16,11,,,
cho2019sitting,12,13,,,
choi2015estimation,12,4,,,
cun2021sitting,52,6,,,
daian2007sensitive,10,35,,,
demmans2007posture,13,10,,,
dib2007effects,6,26,,,
ding2019realtime,55,14,,,
duffy2013measuring,9,6,,,
dunne2006design,13,105,,,
dunne2008wearable,27,93,,,
el-sayed2011novel,6,26,,,
epstein2012effects,18,34,,,
estrada2016realtime,10,26,,,
estrada2017sitting,13,11,,,
fan2022deep,25,9,,,
feng2019are,24,7,,,
feng2020sitr,52,20,,,
ferreira2014breakout,14,12,,,
ferro2009sensing,21,31,,,
flutur2019smart,14,11,,,
fradet2011use,21,11,,,
fragkiadakis2019design,13,11,,,
fujita2021tiltchair,69,12,,,
gaffney2015evaluation,32,29,,,
gelaw2022posture,15,4,,,
goldstein2020realtime,7,0,,,
goossens2012office,2,46,,,
guanqingliang2017smart,15,22,,,
gupta2020posture,15,8,,,
gupta2021detection,10,6,,,
haller2011finding,22,73,,,
hayashi2017harmless,3,3,,,
ho2016improving,74,82,,,
hong2015better,15,33,,,
hong2015beupo,12,5,,,
hongztan1997chair,7,80,,,
hu2010providing,10,37,,,
hu2020smart,38,42,,,
huang2012sitting,14,23,,,
huang2017smart,7,84,,,
ishac2017smart,7,4,,,
ishac2018lifechair,40,30,,,
ishaku2019flexible,8,9,,,
ishimatsu2014bitaika,4,16,,,
ishimatsu2015finding,1,0,,,
jaebonglee2014preventfhp,22,14,,,
jaffery2022fsrbased,27,6,,,
jaimes2005sit,46,39,,,
jaimes2006posture,42,22,,,
jeong2021developing,65,29,,,
jiang2022knitted,45,18,,,
johnson2010buzz,7,8,,,
kappattanavar2020position,32,3,,,
katayama2022you,15,12,,,
kazuhirokamiya2008sitting,7,71,,,
khurana2014neckgraffe,6,12,,,
kim2016feedback,5,9,,,
kim2018classification,52,47,,,
kim2019designing,37,18,,,
kiran2021automatic,56,0,,,
kulikajevas2021detection,70,49,,,
kulon2013rulebased,33,4,,,
