citekey,Year,Author,Title,DOI,Url
ahmad2017sitting,2017,"Ahmad, Jawad; Andersson, Henrik; Siden, Johan",Sitting posture recognition using screen printed large area pressure sensors,10.1109/icsens.2017.8233944,
ahmad2021proposal,2021,"Ahmad, Jawad; Sidén, Johan; Andersson, Henrik",A proposal of implementation of sitting posture monitoring system for wheelchair utilizing machine learning methods,10.3390/s21196349,
ahn2015development,2015,"Ahn, ShiHyun; Jeong, YoungJin; Kim, DongHyun; Kim, HyunDeok",Development of the non-wearable system with FSR sensors for correction of sitting position,10.1109/icctim.2015.7224608,
alattas2014detecting,2014,"Alattas, Reem; Elleithy, Khaled",Detecting and minimizing bad posture using postuino among engineering students,10.1109/aims.2014.55,
anwary2019real,2019,"Anwary, Arif Reza; Bouchachia, Hamid; Vassallo, Michael",Real time visualization of asymmetrical sitting posture,10.1016/j.procs.2019.08.024,
anwary2020monitoring,2020,"Anwary, Arif Reza; Vassallo, Michael; Bouchachia, Hamid",Monitoring of prolonged and asymmetrical posture to improve sitting behavior,10.1109/icdabi51230.2020.9325598,
ardito2021lowcost,2021,"Ardito, Marilda; Mascolo, Fabiana; Valentini, Martina; Dell'Olio, Francesco",Low-cost wireless wearable system for posture monitoring,10.3390/electronics10212569,
arrogi2019validation,2019,"Arrogi, Anass; Boen, Filip; Seghers, Jan",Validation of a smart chair and corresponding smartphone app as an objective measure of desk-based sitting,10.1002/1348-9585.12033,
arshad2022intelligent,2022,"Arshad, Jehangir; Asim, Hafiza Mahnoor; Ashraf, Muhammad Adil; Jaffery, Mujtaba Hussain; Zaidi, Khurram Shabih; Amentie, Melkamu Deressa",An intelligent cost-efficient system to prevent the improper posture hazards in offices using machine learning algorithms,10.1155/2022/7957148,
azrin1968behavioral,1968,"Azrin, N.; Rubin, H.; OBrien, F.; Ayllon, T.; Roll, D.",Behavioral engineering: postural control by a portable operant apparatus1,10.1901/jaba.1968.1-99,
bagalkot2019reride,2019,"Bagalkot, Naveen L.; Singh, Gaurav; Rath, Vineeta; Sokoler, Tomas; Shukla, Anchit",ReRide: A bike area network for embodied self-monitoring during motorbike commute,10.1145/3294109.3300986,
bailly2016livingdesktop,2016,"Bailly, Gilles; Sahdev, Sidharth; Malacria, Sylvain; Pietrzak, Thomas",LivingDesktop: Augmenting desktop workstation with actuated devices,10.1145/2858036.2858208,
bao2013sitting,2013,"Bao, Junrong; Li, Wenfeng; Li, Jian; Ge, Yanhong; Bao, Chongzhi",Sitting Posture Recognition based on data fusion on pressure cushion,,https://ijeecs.iaescore.com/index.php/IJEECS/article/view/2151
baptista2017flexible,2017,"Baptista, Renato; Antunes, Michel; Shabayek, Abd El Rahman; Aouada, Djamila; Ottersten, Bjorn",Flexible feedback system for posture monitoring and correction,10.1109/iciip.2017.8313687,
barba2015development,2015,"Barba, Ricardo; Madrid, Ángel P. de; Boticario, Jesús G.",Development of an inexpensive sensor network for recognition of sitting posture,10.1155/2015/969237,
barone2019sensory,2019,"Barone, Vincent J.; Yuen, Michelle C.; Kramer-Boniglio, Rebecca; Sienko, Kathleen H.",Sensory garments with vibrotactile feedback for monitoring and informing seated posture,10.1109/robosoft.2019.8722795,
bei2017sitting,2017,"Bei, Sun; Xing, Zeng; Taocheng, Liu; Qin, Lu",Sitting posture detection using adaptively fused 3D features,10.1109/itnec.2017.8284904,
benocci2011contextaware,2011,"Benocci, Marco; Farella, Elisabetta; Benini, Luca",A context-aware smart seat,10.1109/iwasi.2011.6004697,
bibbo2018nonintrusive,2018,"Bibbo, Daniele; Battisti, Federica; Conforto, Silvia; Carli, Marco",A non-intrusive system for seated posture identification,10.1109/healthcom.2018.8531165,
bibbo2019sitting,2019,"Bibbo, Daniele; Carli, Marco; Conforto, Silvia; Battisti, Federica",A sitting posture monitoring instrument to assess different levels of cognitive engagement,10.3390/s19030455,
bibbo2020influence,2020,"Bibbo, Daniele; Conforto, Silvia; Schmid, Maurizio; Battisti, Federica",The influence of different levels of cognitive engagement on the seated postural sway,10.3390/electronics9040601,
