#,paper,Feedback Type,Participants,Time (h),Days,Study Type,Task Category,Task,Measures
1,daian2007sensitive,VIS + AU,6,6.0,1,in-situ,PC Tasks,participants' own work,"posture behaviour (sitting time,time in good posture, time to change posture), open feedback"
2,sigurdsson2008using,Visual,8,24.0,1,lab,PC Tasks,typing task,"posture behaviour(time in good posture,subjective posture), task performance"
3,ishimatsu2014bitaika,Visual,8,1.0,1,lab,PC Tasks,participants' own work,"posture behaviour (time in bad posture, number of interventions, time to change posture)"
4,ishimatsu2015finding,VIS vs. VIS + AC,12,1.0,2,lab,PC Tasks,participants' own work,posture behaviour (time in bad posture)
5,haller2011finding,VIS vs. VIS vs. VIB,12,1.5,1,lab,PC Tasks,"typing task, reading task","posture behaviour (frequency of posture types), task performance, usability"
6,park2012effect,Visual,14,1.0,1,lab,PC Tasks,typing task,posture behaviour (posture angle)
7,wolfel2017acceptance,Visual,16,3.0,1,lab,PC Tasks,"typing task, reading task",usability
8,bootsman2019wearable,AU + VIB vs. AU + VIB + VIS,15,3.0,1,in-situ,sedentary work in special contexts,health care workers' daily work,"usability/UX, open feedback"
9,bootsman2019wearable,AU + VIB vs. AU + VIB + VIS,13,3.5,1,in-situ,sedentary work in special contexts,health care workers' daily work,"usability/UX, open feedback, posture behaviour (frequency of bad posture, time in bad posture)"
10,dib2007effects,VIS + AU,3,"2,880.0",16,in-situ,sedentary work in special contexts,flute playing,posture behaviour (number of interventions)
11,moon2013comparison,Visual,3,96.0,4,in-situ,PC Tasks,participants' own work,posture behaviour (time in good posture)
12,yu2013evaluation,Visual,4,360.0,15,in-situ,PC Tasks,participants' own work,posture behaviour (time in good posture)
13,murata2016graphical,Visual,6,672.0,28,in-situ,PC Tasks,participants' own work,"posture behaviour (time in bad posture,  subjective posture), usability/UX"
14,shin2016beupright,VIB vs. VIB + VIS,12,336.0,14,in-situ,PC Tasks,participants' own work,"open feedback, usability/UX, posture behaviour (frequency of posture change)"
15,lee2020human,Visual,24,1.0,1,lab,PC Tasks,typing task,"usability/UX, posture behaviour(frequency of bad posture), task performance"
16,speir2015posturechair,Visual,34,1.4,1,lab,PC Tasks,participants' own work,"posture behaviour (time in good posture, time in bad posture), usability/UX"
17,kiran2021automatic,VIS vs. AU vs. AC,36,1.3,1,lab,PC Tasks,"typing task, mobile game","posture behaviour(time to correct a bad posture, posture angle, subjective posture) , usability/UX, comfort"
18,zheng2013comparison,VIS vs. VIB,25,2.3,2,lab,PC Tasks,participants' own work,"posture behaviour (time in good posture, time in bad posture)"
19,zheng2013comparison,VIS vs. VIB,41,0.3,1,lab,PC Tasks,typing task,"task performance, posture behaviour (time to change posture ), usability/UX"
20,taieb-maimon2012effectiveness,Visual,50,"1,008.0",42,in-situ,PC Tasks,participants' own work,"posture behaviour(posture improvement over time), comfort"
21,duffy2013measuring,Visual,4,96.0,4,lab,PC Tasks,participants' own work,"posture behaviour (time in good posture, time in  bad posture, frequency of posture change)"
22,alattas2014detecting,VIS vs. AU vs. VIS + AU,24,9.0,1,lab,PC Tasks,participants' own work,"posture behaviour (time in good posture, time in  bad posture), comfort, usability/UX"
23,vanalmkerk2015improving,VIS + AC,5,2.0,1,lab,PC Tasks,participants' own work,usability/UX
24,azrin1968behavioral,Aural,25,7.0,2,in-situ,PC Tasks,participants' own work,"posture behaviour (time in bad posture, number of interventions), open feedback"
25,barone2019sensory,Vibration,5,0.3,1,lab,PC Tasks,typing task,"posture behaviour (posture angle,time in good posture), usability/UX"
26,breen2009evaluation,VIS + AU,6,10.0,2,lab,PC Tasks,participants' own work,posture behaviour (time in bad posture)
27,demmans2007posture,Visual,7,6.0,1,lab,PC Tasks,participants' own work,"posture behaviour (number of interventions), comfort, usability/UX"
28,epstein2012effects,AU + VIB,15,0.5,1,in-situ,sedentary work in special contexts,students' work,posture behaviour (time in good posture)
29,epstein2012effects,Aural,N/A,"1,008.0",42,in-situ,PC Tasks,participants' own work,posture behaviour (time in good posture)
30,fujita2021tiltchair,Active,12,1.2,1,lab,PC Tasks,typing task,"task performance (speed error rate) , usability/UX, posture behaviour(subjective posture)"
31,fujita2021tiltchair,Active,12,1.3,1,lab,PC Tasks,typing task,"task performance (speed error rate) , usability/UX, posture behaviour (subjective posture, posture angle)"
32,fujita2021tiltchair,Active,4,5.0,1,in-situ,PC Tasks,participants' own work,open feedback
33,gaffney2015evaluation,AU vs. AU + VIS,20,0.5,1,lab,PC Tasks,participants' own work,posture behaviour (muscle activity) 
34,goossens2012office,AU + VIB vs. AU,40,672.0,28,in-situ,PC Tasks,participants' own work,posture behaviour (time in good posture)
35,ishac2017smart,Vibration,6,2.0,1,lab,testing / using the system,sitting,posture behaviour (time in good posture)
36,ishac2018lifechair,Vibration,10,2.0,1,lab,PC Tasks,participants' own work,posture behaviour (time in good posture)
37,johnson2010buzz,Vibration,4,168.0,4,in-situ,PC Tasks,participants' own work,open feedback
38,kim2016feedback,Visual,14,1.0,1,lab,PC Tasks,participants' own work,"usability, functionality, posture behaviour (frequency of bad posture)"
